,idioms,level
0,"长年累月
",1
1,"背道而驰
",1
2,"不欢而散
",1
3,"惩恶劝善
",1
4,"八面玲珑
",1
5,"才高八斗
",1
6,"称心如意
",1
7,"毕恭毕敬
",1
8,"草木皆兵
",1
9,"愁眉不展
",1
10,"词不达意
",1
11,"不求甚解
",1
12,"按部就班
",1
13,"背井离乡
",1
14,"楚楚可怜
",1
15,"暴殄天物
",1
16,"百里挑一
",1
17,"半信半疑
",1
18,"肠肥脑满
",1
19,"城门失火
",1
20,"百步穿杨
",1
21,"悲欢离合
",1
22,"不露声色
",1
23,"不可救药
",1
24,"车水马龙
",1
25,"班门弄斧
",1
26,"参差不齐
",1
27,"称王称霸
",1
28,"白纸黑字
",1
29,"春风满面
",1
30,"安家立业
",1
31,"陈词滥调
",1
32,"残花败柳
",1
33,"成家立业
",1
34,"穿针引线
",1
35,"安分守己
",1
36,"出没无常
",1
37,"笨嘴笨舌
",1
38,"残羹冷炙
",1
39,"不可告人
",1
40,"乘虚而入
",1
41,"爱不释手
",1
42,"赤心报国
",1
43,"重见天日
",1
44,"充耳不闻
",1
45,"唇枪舌剑
",1
46,"赤胆忠心
",1
47,"从天而下
",1
48,"痴人说梦
",1
49,"半死不活
",1
50,"黯然失色
",1
51,"踌躇满志
",1
52,"草草了事
",1
53,"趁火打劫
",1
54,"不计其数
",1
55,"陈规陋习
",1
56,"答非所问
",1
57,"百无聊赖
",1
58,"不务正业
",1
59,"尺短寸长
",1
60,"池鱼笼鸟
",1
61,"此起彼伏
",1
62,"饱经风霜
",1
63,"崇山峻岭
",1
64,"打抱不平
",1
65,"不约而同
",1
66,"残兵败将
",1
67,"本来面目
",1
68,"草菅人命
",1
69,"昂首阔步
",1
70,"鞭长莫及
",1
71,"晨钟暮鼓
",1
72,"彻头彻尾
",1
73,"出其不意
",1
74,"称兄道弟
",1
75,"别出心裁
",1
76,"赤膊上阵
",1
77,"半路出家
",1
78,"别有用心
",1
79,"白手起家
",1
80,"触景生情
",1
81,"惨不忍闻
",1
82,"长此以往
",1
83,"百废俱兴
",1
84,"唇齿相依
",1
85,"丑态百出
",1
86,"暗箭伤人
",1
87,"八面威风
",1
88,"按图索骥
",1
89,"爱财如命
",1
90,"惩前毖后
",1
91,"白璧无瑕
",1
92,"搬弄是非
",1
93,"包罗万象
",1
94,"查无实据
",1
95,"卑躬屈膝
",1
96,"察言观色
",1
97,"从容不迫
",1
98,"包办代替
",1
99,"斑驳陆离
",1
100,"闭门造车
",1
101,"聪明才智
",1
102,"承上启下
",1
103,"避重就轻
",1
104,"车载斗量
",1
105,"瞠目结舌
",1
106,"波澜壮阔
",1
107,"锄强扶弱
",1
108,"杯盘狼藉
",1
109,"沉默寡言
",1
110,"长生不老
",1
111,"报仇雪恨
",1
112,"称体裁衣
",1
113,"不足为奇
",1
114,"仇深似海
",1
115,"百战百胜
",1
116,"悲喜交集
",1
117,"刺股悬梁
",1
118,"餐风宿露
",1
119,"半途而废
",1
120,"本末倒置
",1
121,"百读不厌
",1
122,"冲锋陷阵
",1
123,"表里如一
",1
124,"笔走龙蛇
",1
125,"打成一片
",1
126,"出口成章
",1
127,"才疏意广
",1
128,"安于现状
",1
129,"逞性妄为
",1
130,"标新立异
",1
131,"成事不足
",1
132,"层出不穷
",1
133,"持之以恒
",1
134,"奔走相告
",1
135,"打草惊蛇
",1
136,"超群出众
",1
137,"绰绰有余
",1
138,"暗无天日
",1
139,"藏龙卧虎
",1
140,"出生入死
",1
141,"殃及池鱼
",1
142,"成竹在胸
",1
143,"垂死挣扎
",1
144,"包藏祸心
",1
145,"按兵不动
",1
146,"不由自主
",1
147,"豺狼成性
",1
148,"粗枝大叶
",1
149,"比比皆是
",1
150,"臭不可当
",1
151,"粗心大意
",1
152,"超群绝伦
",1
153,"病入膏肓
",1
154,"触目皆是
",1
155,"饱食终日
",1
156,"背信弃义
",1
157,"百感交集
",1
